BrightBox,Project ID,Job Code,Address,Utility Company,TU Invoice,City,CAP date approved,Permit Approval Date,Created Date,Install Date,PTO Recorded Date,Project Status
TRUE,PR-3004413385,222R-082TEIX,82 Circuit Rd Medford MA USA 02155,National Grid,"$8,157.66",MEDFORD,9/20/2025,10/9/2025,12/29/2025,-,-,Cancelled
TRUE,PR-3004498867,222R-065CABR2,65 Larchwood Rd Methuen MA USA 01844,National Grid,"$7,442.16",METHUEN,10/9/2025,-,12/8/2025,-,-,Cancelled
TRUE,PR-3004395543,221R-056CIPR2,56 Newton St Fitchburg MA USA 01420,UNITIL,"$13,087.34",FITCHBURG,9/16/2025,-,12/5/2025,-,-,Cancelled
TRUE,PR-3004336858,222R-012PINT,12 Sarah St Burlington MA USA 01803,Eversource,$74.00,BURLINGTON,9/2/2025,-,12/11/2025,-,-,Cancelled
TRUE,PR-3004301240,221R-178HUME,178 Laurel Ln Ludlow MA USA 01056,WMECO,"$10,350.22",LUDLOW,8/21/2025,-,9/24/2025,-,-,Cancelled
TRUE,PR-3004632608,221R-005FERR2,5 Memorial Park Agawam MA USA 01030,WMECO,"$8,055.45",FEEDING HILLS,12/18/2025,-,1/12/2026,-,-,Cancelled
TRUE,PR-3004491087,221R-043LAWR,43 Warrenton St Springfield MA USA 01109,WMECO,"$14,120.99",Springfield,10/22/2025,-,11/26/2025,-,-,Cancelled
TRUE,PR-3004747920,221R-230TERZ2,230 Oak Hollow Rd Springfield MA USA 01128,WMECO,"$10,696.96",Springfield,1/23/2026,-,5/22/2026,-,-,Cancelled
TRUE,PR-3004747905,221R-027PALM2,27 CHIPPEWA ST HUBBARDSTON MA US 01452,National Grid,"$2,027.12",Hubbardston,1/9/2026,2/12/2026,4/9/2026,-,-,"Installed, Pending TU"
TRUE,PR-3004340096,221R-006PARK2,6 McLean Pkwy Ludlow MA USA 01056,WMECO,"$28,969.81",Ludlow,9/9/2025,-,10/10/2025,-,-,Cancelled
TRUE,PR-3004105412,222R-016BRON,16 Regency Dr Bedford NH USA 03110,Eversource,"$3,730.87",BEDFORD,8/6/2025,9/11/2025,12/11/2025,-,-,Cancelled
TRUE,PR-3004506057,221R-034WEIS,34 Stow Rd Harvard MA USA 01451,National Grid,"$11,236.85",Harvard,10/17/2025,12/22/2025,2/2/2026,-,-,Cancelled
TRUE,PR-3004362496,221R-590WEHE2,590 New Ipswich Rd Ashby MA USA 01431,UNITIL,"$6,515.44",Ashby,1/29/2026,-,2/24/2026,-,-,Cancelled
TRUE,PR-3004339328,222R-077HACK,1077 Greenfield Rd Francestown NH USA 03043,Eversource,"$8,213.17",FRANCESTOWN,9/5/2025,1/21/2026,1/26/2026,2/4/2026,-,"Installed, Pending TU"
TRUE,PR-3002628863,281R-022COL1,22 Lary Ln Norwich VT USA 05055,Green Mountain Power,"$1,575.57",Norwich,6/25/2024,6/27/2024,6/10/2024,-,-,Cancelled
TRUE,PR-3001652240,224R-084HERN,84 Fern St Springfield MA USA 01108,WMECO,"$1,734.67",Springfield,10/12/2023,-,9/30/2023,-,-,Cancelled
TRUE,PR-3004615339,222R-005LIZA2,5 DEERING AVE METHUEN MA US 01844,National Grid,"$10,184.78",METHUEN,11/17/2025,1/5/2026,2/11/2026,-,-,Cancelled
TRUE,PR-3004736955,221R-420GAUT,420 Mill St Gardner MA USA 01440,National Grid,"$2,027.12",Gardner,1/17/2026,2/27/2026,4/1/2026,4/29/2026,-,"Installed, Pending TU"
TRUE,PR-3004854125,221R-011MEND2,11 Woodland Heights Ware MA USA 01082,National Grid,"$8,920.25",Ware,3/2/2026,4/9/2026,5/5/2026,-,-,Pending Install
TRUE,PR-3005056588,221R-011FRAN2,11 Bowles Park Springfield MA USA 01104,WMECO,"$13,074.15",SPRINGFIELD,4/25/2026,-,5/19/2026,-,-,Cancelled
TRUE,PR-3004254858,223R-019BAIL,19 Parker Ave Stoughton MA USA 02072,National Grid,"$20,000.94",STOUGHTON,8/26/2025,9/23/2025,3/6/2026,5/1/2026,-,"Installed, Pending TU"
TRUE,PR-3004794805,222R-005DASI,5 Jay Rd Billerica MA USA 01862,National Grid,"$3,000.00",NORTH BILLERICA,1/28/2026,2/11/2026,4/16/2026,5/20/2026,-,"Installed, Pending TU"
TRUE,PR-3004795401,222R-070FERR2,70 Derby St Dracut MA USA 01826,National Grid,"$2,500.00",Dracut,1/31/2026,2/4/2026,4/2/2026,4/27/2026,-,"Installed, Pending TU"
TRUE,PR-3004831606,222R-032SMIT2,32 Scranton Way Lynn MA USA 01904,National Grid,"$11,000.00",LYNN,2/3/2026,3/5/2026,3/20/2026,-,-,Cancelled
TRUE,PR-3002083492,224R-167CAM3,1167 Lower Rd Hardwick MA USA 01031,National Grid,"$13,738.69",Hardwick,4/7/2024,8/30/2024,10/3/2025,-,-,Pending Install
TRUE,PR-3003149710,222R-365CHER,365 Candlestick Rd North Andover MA USA 01845,National Grid,"$4,500.00",North Andover,10/18/2024,11/5/2024,2/18/2025,-,-,Cancelled
TRUE,PR-3001966813,222R-250MONR,250 Main St North Andover MA USA 01845,National Grid,"$1,972.04",North Andover,1/12/2024,-,3/5/2024,-,-,Cancelled
TRUE,PR-3004422894,222R-864HENT,864 Chickering Rd North Andover MA USA 01845,National Grid,"$13,170.04",NORTH ANDOVER,9/16/2025,9/24/2025,1/23/2026,-,-,Cancelled
TRUE,PR-3004909037,221R-048TODD,48 Methuen St Springfield MA USA 01119,WMECO,"$12,746.26",SPRINGFIELD,3/4/2026,-,3/10/2026,-,-,Cancelled
TRUE,PR-3004767956,221R-035VEGA,35 Ramah St Springfield MA USA 01104,WMECO,"$14,762.15",SPRINGFIELD,1/14/2026,-,5/22/2026,-,-,Cancelled
TRUE,PR-3004658267,221R-142BOUR,142 Winifred Ave Worcester MA USA 01602,National Grid,"$2,500.00",WORCESTER,12/23/2025,1/7/2026,4/22/2026,-,-,Cancelled
TRUE,PR-3004295109,221R-189FERN,189 Kelleher St Marlborough MA USA 01752,National Grid,"$9,260.22",MARLBOROUGH,8/21/2025,9/3/2025,12/23/2025,4/3/2026,-,"Installed, Pending TU"
TRUE,PR-3004619848,223R-007PALM,7 E Main St Avon MA USA 02322,National Grid,"$10,184.78",AVON,11/16/2025,12/15/2025,2/17/2026,3/31/2026,-,"Installed, Pending TU"
TRUE,PR-3004858960,221R-061DENG,61 Massachusetts Ave Ludlow MA USA 01056,WMECO,"$10,851.24",Ludlow,2/28/2026,-,3/30/2026,-,-,Cancelled
TRUE,PR-3004818657,221R-033PONU,33 Grimard St Ludlow MA USA 01056,WMECO,"$13,845.54",Ludlow,2/7/2026,5/6/2026,3/6/2026,5/7/2026,-,"Installed, Pending TU"
TRUE,PR-3004819352,221R-018RINA,18 Grimard St Ludlow MA USA 01056,WMECO,"$6,609.85",LUDLOW,2/15/2026,5/6/2026,3/6/2026,-,-,Cancelled
TRUE,PR-3004808934,221R-057SANT,57 OAKRIDGE ST LUDLOW MA US 01056,WMECO,"$14,706.45",LUDLOW,2/27/2026,-,5/22/2026,-,-,Cancelled
TRUE,PR-3004855243,221R-074FOUN,74 Ray St Ludlow MA USA 01056,WMECO,"$9,008.98",LUDLOW,4/9/2026,-,4/27/2026,-,-,Pending Install
TRUE,PR-3004216457,221R-067MOTT,67 Longedge Ave Fitchburg MA USA 01420,UNITIL,"$21,352.53",FITCHBURG,7/30/2025,-,9/9/2025,-,-,Cancelled
TRUE,PR-3004789365,221R-099COLL,99 Albee St Fitchburg MA USA 01420,UNITIL,"$13,359.80",FITCHBURG,3/8/2026,4/28/2026,5/21/2026,5/11/2026,-,"Installed, Pending TU"
TRUE,PR-3004825035,221R-103FERN,103 Albee St Fitchburg MA USA 01420,UNITIL,"$13,682.59",FITCHBURG,3/20/2026,5/12/2026,4/28/2026,-,-,Pending Install
TRUE,PR-3004770693,221R-432SAIL,2432 Roosevelt Ave Springfield MA USA 01104,WMECO,"$7,333.47",SPRINGFIELD,1/23/2026,-,3/4/2026,-,-,Cancelled
TRUE,PR-3004195285,221R-007GRIM,7 Butler Rd Wilbraham MA USA 01095,National Grid,"$8,157.66",WILBRAHAM,8/5/2025,8/21/2025,4/25/2026,4/24/2026,-,"Installed, Pending TU"
TRUE,PR-3004836036,222R-012SANC2,12 Boston St Lawrence MA USA 01841,National Grid,"$2,027.12",LAWRENCE,2/16/2026,3/31/2026,4/17/2026,-,-,Pending Install
TRUE,PR-3004486394,221R-435BIAN,435 5th Massachusetts Turnpike Fitchburg MA USA 01420,UNITIL,"$11,512.87",FITCHBURG,11/8/2025,12/31/2025,12/16/2025,3/16/2026,-,"Installed, Pending TU"
TRUE,PR-3004586087,221R-001BURS,1 Balsam Dr Townsend MA US 01469,UNITIL,"$6,925.57",TOWNSEND,3/2/2026,-,5/22/2026,-,-,Cancelled
TRUE,PR-3003990125,221R-106LUNA,106 Littleton St Springfield MA USA 01104,WMECO,"$8,768.00",SPRINGFIELD,7/23/2025,9/22/2025,8/21/2025,-,-,Cancelled
TRUE,PR-3004692710,221R-073CARI2,73 Cherokee Dr Springfield MA USA 01109,WMECO,"$6,852.88",Springfield,12/4/2025,2/17/2026,3/2/2026,2/25/2026,-,"Installed, Pending TU"
TRUE,PR-3003881365,221R-064COUT2,64 Palmyra St Springfield MA USA 01118,WMECO,"$26,061.79",SPRINGFIELD,7/21/2025,-,8/18/2025,-,-,Cancelled
TRUE,PR-3004877619,221R-126BOAC,126 Chapin St Ludlow MA USA 01056,WMECO,"$6,430.43",Ludlow,2/24/2026,5/6/2026,3/11/2026,-,-,Cancelled
TRUE,PR-3004887294,222R-154OREN,154 1st St Lowell MA USA 01850,National Grid,"$8,157.66",Lowell,3/4/2026,3/19/2026,5/21/2026,-,-,Pending Install
TRUE,PR-3004948971,221R-071SMIT2,71 Bircham St Springfield MA USA 01104,WMECO,"$10,311.42",SPRINGFIELD,3/31/2026,-,4/27/2026,-,-,Cancelled
TRUE,PR-3004822271,221R-015MATH2,15 Plain St Hopedale MA USA 01747,National Grid,"$7,442.16",HOPEDALE,2/16/2026,2/26/2026,4/16/2026,5/5/2026,-,"Installed, Pending TU"
TRUE,PR-3004677406,221R-337QUIS2,337 North St Leominster MA USA 01453,National Grid,"$2,027.12",LEOMINSTER,1/17/2026,1/30/2026,3/6/2026,4/28/2026,-,"Installed, Pending TU"
TRUE,PR-3004789527,221R-031NAMA2,31 Wildwood Dr Fitchburg MA USA 01420,UNITIL,"$37,054.31",FITCHBURG,1/23/2026,-,5/22/2026,-,-,Cancelled
TRUE,PR-3004534501,223R-082BING,82 Grantview Terrace Brockton MA USA 02301,National Grid,"$8,157.66",BROCKTON,10/29/2025,12/14/2025,1/23/2026,3/9/2026,-,"Installed, Pending TU"
TRUE,PR-3004459734,223R-027FILS,27 Federico Cir Stoughton MA USA 02072,National Grid,"$8,920.25",Stoughton,10/3/2025,10/10/2025,2/5/2026,2/28/2026,-,"Installed, Pending TU"
TRUE,PR-3005062275,221R-010DESO2,10 Abbott St Pittsfield MA USA 01201,WMECO,"$6,387.88",Pittsfield,4/22/2026,-,5/5/2026,-,-,Pending Install
TRUE,PR-3004914583,221R-041TENG,41 Edward Rd Townsend MA USA 01469,UNITIL,"$6,515.44",TOWNSEND,3/14/2026,-,5/22/2026,-,-,Cancelled
TRUE,PR-3004881719,221R-012BOYD,12 Point Grove Rd Southwick MA USA 01077,WMECO,"$3,911.60",SOUTHWICK,2/22/2026,4/30/2026,3/24/2026,5/8/2026,-,"Installed, Pending TU"
TRUE,PR-3004868977,221R-136WILL2,136 S Longyard Rd Southwick MA USA 01077,WMECO,"$6,105.31",SOUTHWICK,3/9/2026,5/13/2026,3/16/2026,-,-,Pending Install
TRUE,PR-3005158765,221R-246ADAM,246 Feeding Hills Rd Southwick MA USA 01077,WMECO,"$13,520.87",SOUTHWICK,5/14/2026,-,5/27/2026,-,-,Pending Install
TRUE,PR-3004321374,222R-015DIOG,15 Porter St Everett MA USA 02149,National Grid,"$27,326.14",EVERETT,10/26/2025,11/20/2025,3/24/2026,-,-,Cancelled
TRUE,PR-3004419820,223R-440PENA,440 N Main St Attleboro MA USA 02703,National Grid,"$11,132.87",ATTLEBORO,9/16/2025,10/15/2025,1/2/2026,3/10/2026,-,"Installed, Pending TU"
TRUE,PR-3004578147,222R-220CORM,220 Acton Rd Chelmsford MA USA 01824,National Grid,"$8,157.66",CHELMSFORD,11/20/2025,12/3/2025,3/5/2026,3/20/2026,-,"Installed, Pending TU"
TRUE,PR-3004638692,221R-057RAHA,57 Goodrich St Fitchburg MA USA 01420,UNITIL,"$17,095.28",FITCHBURG,1/6/2026,-,3/23/2026,-,-,Pending Install
TRUE,PR-3004602534,221R-134MURR,134 S Row Rd Townsend MA USA 01469,UNITIL,"$6,679.49",TOWNSEND,1/8/2026,-,1/22/2026,-,-,Cancelled
TRUE,PR-3004931472,221R-156FLYN,156 Chestnut Plain Rd Whately MA USA 01093,WMECO,"$4,772.36",Whately,3/16/2026,-,4/20/2026,-,-,Pending Install
TRUE,PR-3004835195,221R-062LUND,62 Eastern Ave Deerfield MA USA 01373,WMECO,"$3,941.04",Deerfield,2/5/2026,4/1/2026,2/17/2026,4/17/2026,-,"Installed, Pending TU"
TRUE,PR-3005054896,221R-016GABE,16 North St Montague MA USA 01351,WMECO,"$4,284.97",Montague,4/21/2026,-,5/21/2026,-,-,Pending Install
TRUE,PR-3005073986,221R-020JACQ,20 Knightly Rd Hadley MA USA 01035,WMECO,"$8,954.85",Hadley,4/20/2026,-,5/7/2026,-,-,Cancelled
TRUE,PR-3005012682,221R-045RODR2,45 Homestead Ave Springfield MA USA 01151,WMECO,"$8,649.69",SPRINGFIELD,4/5/2026,-,4/14/2026,-,-,Pending Install
TRUE,PR-3004851252,221R-011CART2,11 Mohegan Ct Springfield MA USA 01151,WMECO,"$25,433.87",SPRINGFIELD,3/12/2026,-,5/22/2026,-,-,Cancelled
TRUE,PR-3004689175,223R-250CURT,250 Central St Weymouth MA USA 02190,National Grid,"$8,157.66",WEYMOUTH,12/29/2025,2/2/2026,2/11/2026,-,-,Cancelled
TRUE,PR-3004705697,221R-015OFLU,15 Bailey St Agawam MA USA 01001,WMECO,"$10,601.24",Agawam,12/21/2025,2/17/2026,12/29/2025,2/24/2026,-,"Installed, Pending TU"
TRUE,PR-3004586058,221R-01CCOST,1C Ockway St Worcester MA USA 01604,National Grid,"$11,156.54",WORCESTER,11/14/2025,2/25/2026,3/19/2026,4/21/2026,-,"Installed, Pending TU"
TRUE,PR-3004672246,222R-008HAYE,8 Cedarwood Rd Gloucester MA USA 01930,National Grid,"$2,027.12",GLOUCESTER,11/29/2025,12/9/2025,2/20/2026,3/6/2026,-,"Installed, Pending TU"
TRUE,PR-3004776666,221R-052MARK,52 Mohegan St Pittsfield MA USA 01201,WMECO,"$10,373.95",PITTSFIELD,1/22/2026,-,3/31/2026,-,-,Pending Install
TRUE,PR-3004493149,221R-098DOUC,98 Berkley St Pittsfield MA USA 01201,WMECO,"$1,292.50",PITTSFIELD,2/7/2026,3/18/2026,3/3/2026,4/27/2026,-,"Installed, Pending TU"
TRUE,PR-3004565263,221R-020WAYN,20 High Meadow Rd Hadley MA USA 01035,WMECO,"$7,357.40",HADLEY,10/29/2025,-,11/6/2025,-,-,Cancelled
TRUE,PR-3004686164,221R-448CARL,448 Plunkett Reservoir Rd Becket MA USA 01223,WMECO,"$7,824.69",Becket,2/6/2026,-,2/23/2026,-,-,Pending Install
TRUE,PR-3004835419,221R-460QUIZ,460 East St Lee MA USA 01238,WMECO,"$3,311.91",LEE,3/4/2026,-,5/18/2026,-,-,Pending Install
TRUE,PR-3004493306,221R-063SANT2,63 Cherrelyn St Springfield MA USA 01104,WMECO,"$7,292.36",SPRINGFIELD,10/2/2025,-,10/23/2025,-,-,Cancelled
TRUE,PR-3004420758,221R-255ECKE,255 Greylock St Lee MA USA 01238,WMECO,"$4,290.65",LEE,10/27/2025,12/29/2025,10/29/2025,-,-,Cancelled
TRUE,PR-3004238898,222R-005MART3,5 Roberta Ln Lawrence MA USA 01843,National Grid,"$8,157.66",LAWRENCE,8/5/2025,12/15/2025,3/6/2026,3/24/2026,-,"Installed, Pending TU"
TRUE,PR-3004602521,223R-152MONT,152 Hancock St Abington MA USA 02351,National Grid,"$8,157.66",ABINGTON,11/11/2025,11/24/2025,2/12/2026,3/6/2026,-,"Installed, Pending TU"
TRUE,PR-3004775631,221R-077CRAN,77 Chestnut Hill Rd Millville MA USA 01529,National Grid,"$8,920.25",MILLVILLE,2/21/2026,3/23/2026,4/14/2026,-,-,Pending Install
TRUE,PR-3004455313,221R-037PHAK,37 Susan Ln Bellingham MA USA 02019,National Grid,"$7,442.16",BELLINGHAM,10/10/2025,10/22/2025,1/23/2026,3/2/2026,-,"Installed, Pending TU"
TRUE,PR-3004287917,222R-020GONZ2,20 Linda Ave Methuen MA USA 01844,National Grid,"$1,500.00",METHUEN,8/17/2025,10/13/2025,12/3/2025,-,-,Cancelled
TRUE,PR-3004783356,221R-095LARS,95 Essex St Marlborough MA USA 01752,National Grid,"$2,500.00",MARLBOROUGH,1/24/2026,2/2/2026,2/6/2026,-,-,Pending Install
TRUE,PR-3004854143,221R-050BLAC,50 David Ave Lee MA USA 01238,WMECO,"$4,411.13",LEE,2/27/2026,5/27/2026,3/25/2026,-,-,Pending Install
TRUE,PR-3004927243,221R-023VAZQ,23 Emerson St Springfield MA USA 01118,WMECO,$500.00,SPRINGFIELD,3/20/2026,-,5/19/2026,-,-,Pending Install
TRUE,PR-3004632254,221R-168LEON,168 Mt Elam Rd Fitchburg MA USA 01420,UNITIL,"$13,110.00",FITCHBURG,11/24/2025,1/27/2026,1/13/2026,2/27/2026,-,"Installed, Pending TU"
TRUE,PR-3004528145,221R-005TRAN2,1005 Rindge Rd Fitchburg MA USA 01420,UNITIL,"$6,679.49",FITCHBURG,10/26/2025,1/14/2026,12/18/2025,-,-,Cancelled
TRUE,PR-3005094207,221R-182SALI,182 Jasper St Springfield MA USA 01109,WMECO,"$10,412.77",SPRINGFIELD,4/26/2026,-,5/4/2026,-,-,Pending Install
TRUE,PR-3004635248,221R-035CYCZ,35 N Maple St Hadley MA USA 01035,WMECO,"$2,649.03",HADLEY,11/19/2025,-,12/9/2025,-,-,Pending Install
TRUE,PR-3004569813,221R-068DAND,68 Long Hill Rd West Brookfield MA USA 01585,National Grid,"$8,920.25",WEST BROOKFIELD,10/30/2025,11/5/2025,3/13/2026,4/8/2026,-,"Installed, Pending TU"
TRUE,PR-3004549150,221R-021MCIN,21 Ellis Rd Southbridge MA USA 01550,National Grid,"$13,177.73",SOUTHBRIDGE,1/14/2026,2/4/2026,5/5/2026,5/22/2026,-,"Installed, Pending TU"
TRUE,PR-3004812571,221R-025IWAS,25 Lazarz St Ludlow MA USA 01056,WMECO,"$46,411.59",LUDLOW,3/5/2026,-,5/22/2026,-,-,Cancelled
TRUE,PR-3004972253,221R-138BEST,138 Packard Ave Springfield MA USA 01118,WMECO,"$7,484.90",Springfield,4/6/2026,-,4/30/2026,-,-,Pending Install
TRUE,PR-3004268907,221R-064NGUY,64 Cherokee Dr Springfield MA USA 01109,WMECO,"$8,571.15",SPRINGFIELD,8/21/2025,2/17/2026,10/14/2025,-,-,Cancelled
TRUE,PR-3004752832,221R-049DEVI,49 Knightly Rd Hadley MA USA 01035,WMECO,"$3,942.85",Hadley,2/25/2026,-,3/18/2026,-,-,Pending Install
TRUE,PR-3004803649,221R-003SANK2,3 Park St Montague MA USA 01376,WMECO,"$3,704.80",Turners Falls,2/4/2026,3/31/2026,2/16/2026,4/14/2026,-,"Installed, Pending TU"
TRUE,PR-3005075725,221R-058CHAS,58 Bridge St Hatfield MA USA 01038,WMECO,"$7,832.55",HATFIELD,4/21/2026,-,5/19/2026,-,-,Pending Install
TRUE,PR-3004423197,223R-635WINT,635 Pleasant St Bridgewater MA USA 02324,National Grid,"$8,157.66",BRIDGEWATER,9/24/2025,10/28/2025,1/28/2026,-,-,Pending Install
TRUE,PR-3004789439,223R-155WYNN,1155 High St Bridgewater MA USA 02324,National Grid,"$9,540.08",BRIDGEWATER,1/29/2026,-,4/29/2026,-,-,Pending Install
TRUE,PR-3004763732,221R-985DRAK,985 Meadow St Lee MA USA 01238,WMECO,"$3,732.40",LEE,3/16/2026,-,4/24/2026,-,-,Pending Install
TRUE,PR-3004831840,221R-814KETZ,814 Partridge Rd Lanesborough MA USA 01237,WMECO,"$6,223.06",Lanesborough,2/16/2026,-,3/18/2026,-,-,Pending Install
TRUE,PR-3004346376,221R-005MASO2,5 Cascade St Pittsfield MA USA 01201,WMECO,"$2,413.86",PITTSFIELD,2/4/2026,5/4/2026,2/26/2026,5/18/2026,-,"Installed, Pending TU"
TRUE,PR-3004648454,223R-460SAIN,460 School St Stoughton MA USA 02072,National Grid,"$9,524.69",Stoughton,11/20/2025,12/1/2025,3/25/2026,4/23/2026,-,"Installed, Pending TU"
TRUE,PR-3004699613,223R-025SHEA2,25 Reservoir St Norton MA USA 02766,National Grid,"$11,255.65",NORTON,12/20/2025,1/22/2026,3/23/2026,4/18/2026,-,"Installed, Pending TU"
TRUE,PR-3004490214,223R-145DESR,145 Howland Rd Lakeville MA USA 02347,Eversource,"$14,598.00",LAKEVILLE,11/4/2025,12/11/2025,1/30/2026,3/4/2026,-,"Installed, Pending TU"
TRUE,PR-3004263240,221R-052DAVI,52 Meadow Ln Lanesborough MA USA 01237,WMECO,"$3,553.96",LANESBOROUGH,10/7/2025,11/24/2025,10/14/2025,-,-,Pending Install
TRUE,PR-3004198504,221R-254WHIT,254 Main Rd Montgomery MA USA 01085,WMECO,"$9,044.00",MONTGOMERY,9/2/2025,-,10/1/2025,-,-,Cancelled
